DESCRIPTIO,SITE,SITEDESCRI,Category,
Dip Bar Adjacent To Playground,10751,David Lange Park,Dip Bar Adjacent To Playground,
Dippy Disc,23971,Playtime Park,Dippy Disc,
Dippy disc,21794,Shore Road Reserve,Dippy disc,
Disk spinner - small,21383,Kuaka Park,Disk spinner - small,
Dizzy Disc,20939,Robinson Reserve,Dizzy Disc,
Dog Agility Station-AFrame,11395,Corban Reserve,Dog Agility Station-AFrame,
Dog Agility Station-Bridge,11395,Corban Reserve,Dog Agility Station-Bridge,
Dog Agility Station-Hurdle,11395,Corban Reserve,Dog Agility Station-Hurdle,
Dog Agility Station-Hurdle,11395,Corban Reserve,Dog Agility Station-Hurdle,
Dog Agility Station-Jump Through Hurdle,11395,Corban Reserve,Dog Agility Station-Jump Through Hurdle,
Dog Agility Station-Tunnel,11395,Corban Reserve,Dog Agility Station-Tunnel,
Dog Agility Station-Tunnel,11395,Corban Reserve,Dog Agility Station-Tunnel,
Dog Agility Station-Weave Pole,11395,Corban Reserve,Dog Agility Station-Weave Pole,
Dolphin rocker,10000,Francis Reserve,Dolphin rocker,
Dolphin rocker,10326,Outhwaite Park,Dolphin rocker,
Dome,10219,Anderson Park,Dome,
Dome,21866,St Heliers Bay Beach Reserve,Dome,
Dome,21356,Arch Hill Scenic Reserve,Dome,
Dome Climber,10265,Coxs Bay Reserve,Dome Climber,
Double seesaw,21396,Vermont Reserve,Double seesaw,
Double skate unit,10155,Grey Lynn Park,Double skate unit,
Double swing set,10286,Potters Park,Double swing set,
Double wave slide,10356,Western Park - Freemans Bay,Double wave slide,
Dragon,10361,Patteson Reserve,Dragon,
Dynamo rotating net,10348,Western Springs Lakeside,Dynamo rotating net,
Eagles Nest,10063,Roberta Reserve,Eagles Nest,
EDGI-Playground-Timber sawn & concrete,21392,Alice Park,Playground-Timber sawn & concrete,
Elliptical Crosstrainer On High Side,21292,Somerville Park,Elliptical Crosstrainer On High Side,
Embankment slide,10241,Konini Reserve,Embankment slide,
Embankment slide,10424,Madills Farm Recreation Reserve,Embankment slide,
Embankment slide,10424,Madills Farm Recreation Reserve,Embankment slide,
Embankment slide,21561,Ruka Reserve,Embankment slide,
Embankment slides,10288,Waterview Reserve,Embankment slides,
Faintail roundabout,21383,Kuaka Park,Faintail roundabout,
Fantail,10444,Nicholson Park,Fantail,
Fantail roundabout,10155,Grey Lynn Park,Fantail roundabout,
Fantail roundabout,10198,Fearon Park,Fantail roundabout,
Fantail roundabout,10442,Palm Beach Reserve,Fantail roundabout,
Fantail roundabout,10286,Potters Park,Fantail roundabout,
Fantail roundabout,10004,Walker Park,Fantail roundabout,
Fantail roundabout,21077,Harbutt Reserve,Fantail roundabout,
Feature Splash Pad blue green,10286,Potters Park,Feature Splash Pad blue green,
Feature Splash Pad blue green,10286,Potters Park,Feature Splash Pad blue green,
Feature Splash Pad red leaf grey pole,10286,Potters Park,Feature Splash Pad red leaf grey pole,
Feature Splash Pad red leaf grey pole,10286,Potters Park,Feature Splash Pad red leaf grey pole,
Feature Splash Pad red pole,10286,Potters Park,Feature Splash Pad red pole,
Feature Splash Pad switch,10286,Potters Park,Feature Splash Pad switch,
Feature Splash Pad yellow loop,10286,Potters Park,Feature Splash Pad yellow loop,
Feature Splash Pad yellow mushroom,10286,Potters Park,Feature Splash Pad yellow mushroom,
FITN-1 of 5 GymGuru - N end park,20078,Greenslade Reserve,GymGuru,
FITN-1st beside lower path loop,20006,Normanton Reserve,Fitness device,
FITN-1st from playground,21906,Unsworth Reserve,Fitness device,
FITN-2 of 5 GymGuru - N end park,20078,Greenslade Reserve,GymGuru,
FITN-20 metres E of Exaloo,11141,Bayswater Park,Fitness device,
FITN-2nd by lower path loop-Airwalker,20006,Normanton Reserve,Airwalker,
FITN-2nd from playground,21906,Unsworth Reserve,Fitness device,
FITN-3 of 5 GymGuru - N end park,20078,Greenslade Reserve,GymGuru,
FITN-3rd beside lower path loop-Station,20006,Normanton Reserve,Fitness device,
FITN-3rd from playground,21906,Unsworth Reserve,FITN-3rd from playground,
FITN-4 of 5 GymGuru - N end park,20078,Greenslade Reserve,GymGuru,
FITN-4th by lower path loop-Bike Step,20006,Normanton Reserve,Bike Step,
FITN-4th from playground,21906,Unsworth Reserve,Fitness device,
FITN-5 of 5 GymGuru - N end park,20078,Greenslade Reserve,GymGuru,
FITN-5th by lower path loop-Leg Press,20006,Normanton Reserve,Leg Press,
FITN-Abs-5 of 5 frm Finlayson Ave,21661,Burundi Ave Foreshore,Fitness device,
FITN-Air Walker - Behind Tennis Courts,10710,Meadowland Park,Air Walker,
FITN-Air walker/Dip&crunch station(East),10926,Shepherds Park,Air walker/Dip&crunch station,
FITN-Airwalk Crunch-Opp 9 Council Tce,11107,Little Shoal Bay Reserve - Northcote Pt,Airwalk Crunch,
FITN-Airwalker-S of playground,22135,Cadness Reserve,Airwalker,
FITN-Arm press-N of path by stream,20076,Hooton Reserve,Arm press,
FITN-Arm Pull. Next To School,10514,Wellington Street Reserve - Pukekohe,Arm Pull,
FITN-Arms&abs-2 of 5 frm Finlayson Ave,21661,Burundi Ave Foreshore,Arms&abs,
FITN-Arms&abs-4 of 5 from Finlayson Ave,21661,Burundi Ave Foreshore,Arms&abs,
FITN-Bars by basketball court(2LX2W),10932,Meadowood Reserve,Bars,
FITN-Bike-4th from Kilkenny Dr,22782,Logan Carr Reserve,Fitness bike,
FITN-Bike-Beside p/ground next to road,10889,Howick Domain,Fitness bike,
FITN-Body curl SE cnr field,11141,Bayswater Park,Body curl,
FITN-Chest Leg,21964,Rook Reserve,Chest Leg,
FITN-Chin up bar,20776,Growers Stadium & Stadium No. 2,Chin up bar,
FITN-Cross Trainer-SW of playground,22135,Cadness Reserve,Cross Trainer,
FITN-CrossTrainer-1st from Kilkenny Dr,22782,Logan Carr Reserve,CrossTrainer,
FITN-Dipper-E of playground,22135,Cadness Reserve,Fitness dipper,
FITN-F03 Station,11096,Marlborough Park,Fitness device,
FITN-FE01 Twister,11096,Marlborough Park,FITN-FE01 Twister,
FITN-FE06 Leg press-S end path nr Archrs,11096,Marlborough Park,Leg press,
FITN-FE10 Air Walker,11096,Marlborough Park,Air Walker,
"FITN-Frnt of Rec cntr, 2nd frm Mascot",21750,Mangere Recreation Centre,Fitness device,
"FITN-Frnt of Rec cntr, 3rd from Mascot",21750,Mangere Recreation Centre,Fitness device,
"FITN-Frnt of Rec cntr, closest to Mascot",21750,Mangere Recreation Centre,Fitness device,
FITN-Hip Swing - Behind Tennis Courts,10710,Meadowland Park,Hip Swing,
FITN-HipSwing-2nd from Kilkenny Dr,22782,Logan Carr Reserve,HipSwing,
FITN-Horse rider/skier(West),10926,Shepherds Park,Horse rider/skier,
FITN-Left of lower entrace-Four poles,20006,Normanton Reserve,Fitness device,
FITN-Leg Press,21964,Rook Reserve,Leg Press,
FITN-Leg Press - Adjacent To Clubrooms,10710,Meadowland Park,Leg Press,
FITN-Leg press & situp-Opp 9 Council Tce,11107,Little Shoal Bay Reserve - Northcote Pt,Leg press & situp,
FITN-Leg Press-N of path by stream,20076,Hooton Reserve,Leg Press,
FITN-Leg Press. Next To Footpath,10514,Wellington Street Reserve - Pukekohe,Leg Press,
